PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,FamilySize,Singleton,SmallFamily,LargeFamily
196,Survived,1,female,58,146.5208,C,Miss,1,1,0,0
197,Did Not Survive,3,male,26,7.75,Q,Mr,1,1,0,0
198,Did Not Survive,3,male,42,8.4042,S,Mr,2,0,1,0
199,Survived,3,female,18,7.75,Q,Miss,1,1,0,0
200,Did Not Survive,2,female,24,13.0,S,Miss,1,1,0,0
201,Did Not Survive,3,male,28,9.5,S,Mr,1,1,0,0
202,Did Not Survive,3,male,26,69.55,S,Mr,11,0,0,1
203,Did Not Survive,3,male,34,6.4958,S,Mr,1,1,0,0
204,Did Not Survive,3,male,45,7.225,C,Mr,1,1,0,0
205,Survived,3,male,18,8.05,S,Mr,1,1,0,0
206,Did Not Survive,3,female,2,10.4625,S,Miss,2,0,1,0
207,Did Not Survive,3,male,32,15.85,S,Mr,2,0,1,0
208,Survived,3,male,26,18.7875,C,Mr,1,1,0,0
209,Survived,3,female,16,7.75,Q,Miss,1,1,0,0
210,Survived,1,male,40,31.0,C,Mr,1,1,0,0
211,Did Not Survive,3,male,24,7.05,S,Mr,1,1,0,0
212,Survived,2,female,35,21.0,S,Miss,1,1,0,0
213,Did Not Survive,3,male,22,7.25,S,Mr,1,1,0,0
214,Did Not Survive,2,male,30,13.0,S,Mr,1,1,0,0
215,Did Not Survive,3,male,26,7.75,Q,Mr,2,0,1,0
216,Survived,1,female,31,113.275,C,Miss,2,0,1,0
217,Survived,3,female,27,7.925,S,Miss,1,1,0,0
218,Did Not Survive,2,male,42,27.0,S,Mr,2,0,1,0
219,Survived,1,female,32,76.2917,C,Miss,1,1,0,0
220,Did Not Survive,2,male,30,10.5,S,Mr,1,1,0,0
221,Survived,3,male,16,8.05,S,Mr,1,1,0,0
222,Did Not Survive,2,male,27,13.0,S,Mr,1,1,0,0
223,Did Not Survive,3,male,51,8.05,S,Mr,1,1,0,0
224,Did Not Survive,3,male,26,7.8958,S,Mr,1,1,0,0
225,Survived,1,male,38,90.0,S,Mr,2,0,1,0
226,Did Not Survive,3,male,22,9.35,S,Mr,1,1,0,0
227,Survived,2,male,19,10.5,S,Mr,1,1,0,0
228,Did Not Survive,3,male,20,7.25,S,Mr,1,1,0,0
229,Did Not Survive,2,male,18,13.0,S,Mr,1,1,0,0
230,Did Not Survive,3,female,18,25.4667,S,Miss,5,0,0,1
231,Survived,1,female,35,83.475,S,Mrs,2,0,1,0
232,Did Not Survive,3,male,29,7.775,S,Mr,1,1,0,0
233,Did Not Survive,2,male,59,13.5,S,Mr,1,1,0,0
234,Survived,3,female,5,31.3875,S,Miss,7,0,0,1
235,Did Not Survive,2,male,24,10.5,S,Mr,1,1,0,0
236,Did Not Survive,3,female,18,7.55,S,Miss,1,1,0,0
237,Did Not Survive,2,male,44,26.0,S,Mr,2,0,1,0
238,Survived,2,female,8,26.25,S,Miss,3,0,1,0
239,Did Not Survive,2,male,19,10.5,S,Mr,1,1,0,0
240,Did Not Survive,2,male,33,12.275,S,Mr,1,1,0,0
241,Did Not Survive,3,female,18,14.4542,C,Miss,2,0,1,0
242,Survived,3,female,18,15.5,Q,Miss,2,0,1,0
243,Did Not Survive,2,male,29,10.5,S,Mr,1,1,0,0
244,Did Not Survive,3,male,22,7.125,S,Mr,1,1,0,0
245,Did Not Survive,3,male,30,7.225,C,Mr,1,1,0,0
246,Did Not Survive,1,male,44,90.0,Q,Officer,3,0,1,0
247,Did Not Survive,3,female,25,7.775,S,Miss,1,1,0,0
248,Survived,2,female,24,14.5,S,Mrs,3,0,1,0
249,Survived,1,male,37,52.5542,S,Mr,3,0,1,0
250,Did Not Survive,2,male,54,26.0,S,Officer,2,0,1,0
251,Did Not Survive,3,male,26,7.25,S,Mr,1,1,0,0
252,Did Not Survive,3,female,29,10.4625,S,Mrs,3,0,1,0
253,Did Not Survive,1,male,62,26.55,S,Mr,1,1,0,0
254,Did Not Survive,3,male,30,16.1,S,Mr,2,0,1,0
255,Did Not Survive,3,female,41,20.2125,S,Mrs,3,0,1,0
256,Survived,3,female,29,15.2458,C,Mrs,3,0,1,0
257,Survived,1,female,40,79.2,C,Mrs,1,1,0,0
258,Survived,1,female,30,86.5,S,Miss,1,1,0,0
259,Survived,1,female,35,512.3292,C,Miss,1,1,0,0
260,Survived,2,female,50,26.0,S,Mrs,2,0,1,0
261,Did Not Survive,3,male,26,7.75,Q,Mr,1,1,0,0
262,Survived,3,male,3,31.3875,S,Master,7,0,0,1
263,Did Not Survive,1,male,52,79.65,S,Mr,3,0,1,0
264,Did Not Survive,1,male,40,0.0,S,Mr,1,1,0,0
265,Did Not Survive,3,female,18,7.75,Q,Miss,1,1,0,0
266,Did Not Survive,2,male,36,10.5,S,Mr,1,1,0,0
267,Did Not Survive,3,male,16,39.6875,S,Mr,6,0,0,1
268,Survived,3,male,25,7.775,S,Mr,2,0,1,0
269,Survived,1,female,58,153.4625,S,Mrs,2,0,1,0
270,Survived,1,female,35,135.6333,S,Miss,1,1,0,0
271,Did Not Survive,1,male,40,31.0,S,Mr,1,1,0,0
272,Survived,3,male,25,0.0,S,Mr,1,1,0,0
273,Survived,2,female,41,19.5,S,Mrs,2,0,1,0
274,Did Not Survive,1,male,37,29.7,C,Mr,2,0,1,0
275,Survived,3,female,18,7.75,Q,Miss,1,1,0,0
276,Survived,1,female,63,77.9583,S,Miss,2,0,1,0
277,Did Not Survive,3,female,45,7.75,S,Miss,1,1,0,0
278,Did Not Survive,2,male,31,0.0,S,Mr,1,1,0,0
279,Did Not Survive,3,male,7,29.125,Q,Master,6,0,0,1
280,Survived,3,female,35,20.25,S,Mrs,3,0,1,0
281,Did Not Survive,3,male,65,7.75,Q,Mr,1,1,0,0
282,Did Not Survive,3,male,28,7.8542,S,Mr,1,1,0,0
283,Did Not Survive,3,male,16,9.5,S,Mr,1,1,0,0
284,Survived,3,male,19,8.05,S,Mr,1,1,0,0
285,Did Not Survive,1,male,40,26.0,S,Mr,1,1,0,0
286,Did Not Survive,3,male,33,8.6625,C,Mr,1,1,0,0
287,Survived,3,male,30,9.5,S,Mr,1,1,0,0
288,Did Not Survive,3,male,22,7.8958,S,Mr,1,1,0,0
289,Survived,2,male,42,13.0,S,Mr,1,1,0,0
290,Survived,3,female,22,7.75,Q,Miss,1,1,0,0
291,Survived,1,female,26,78.85,S,Miss,1,1,0,0
292,Survived,1,female,19,91.0792,C,Mrs,2,0,1,0
293,Did Not Survive,2,male,36,12.875,C,Mr,1,1,0,0
294,Did Not Survive,3,female,24,8.85,S,Miss,1,1,0,0
295,Did Not Survive,3,male,24,7.8958,S,Mr,1,1,0,0
296,Did Not Survive,1,male,40,27.7208,C,Mr,1,1,0,0
297,Did Not Survive,3,male,23,7.2292,C,Mr,1,1,0,0
298,Did Not Survive,1,female,2,151.55,S,Miss,4,0,1,0
299,Survived,1,male,40,30.5,S,Mr,1,1,0,0
300,Survived,1,female,50,247.5208,C,Mrs,2,0,1,0
301,Survived,3,female,18,7.75,Q,Miss,1,1,0,0
302,Survived,3,male,26,23.25,Q,Mr,3,0,1,0
303,Did Not Survive,3,male,19,0.0,S,Mr,1,1,0,0
304,Survived,2,female,24,12.35,Q,Miss,1,1,0,0
305,Did Not Survive,3,male,26,8.05,S,Mr,1,1,0,0
306,Survived,1,male,0,151.55,S,Master,4,0,1,0
307,Survived,1,female,30,110.8833,C,Miss,1,1,0,0
308,Survived,1,female,17,108.9,C,Mrs,2,0,1,0
309,Did Not Survive,2,male,30,24.0,C,Mr,2,0,1,0
310,Survived,1,female,30,56.9292,C,Miss,1,1,0,0
311,Survived,1,female,24,83.1583,C,Miss,1,1,0,0
312,Survived,1,female,18,262.375,C,Miss,5,0,0,1
313,Did Not Survive,2,female,26,26.0,S,Mrs,3,0,1,0
314,Did Not Survive,3,male,28,7.8958,S,Mr,1,1,0,0
315,Did Not Survive,2,male,43,26.25,S,Mr,3,0,1,0
316,Survived,3,female,26,7.8542,S,Miss,1,1,0,0
317,Survived,2,female,24,26.0,S,Mrs,2,0,1,0
318,Did Not Survive,2,male,54,14.0,S,Officer,1,1,0,0
319,Survived,1,female,31,164.8667,S,Miss,3,0,1,0
320,Survived,1,female,40,134.5,C,Mrs,3,0,1,0
321,Did Not Survive,3,male,22,7.25,S,Mr,1,1,0,0
322,Did Not Survive,3,male,27,7.8958,S,Mr,1,1,0,0
323,Survived,2,female,30,12.35,Q,Miss,1,1,0,0
324,Survived,2,female,22,29.0,S,Mrs,3,0,1,0
325,Did Not Survive,3,male,26,69.55,S,Mr,11,0,0,1
326,Survived,1,female,36,135.6333,C,Miss,1,1,0,0
327,Did Not Survive,3,male,61,6.2375,S,Mr,1,1,0,0
328,Survived,2,female,36,13.0,S,Mrs,1,1,0,0
329,Survived,3,female,31,20.525,S,Mrs,3,0,1,0
330,Survived,1,female,16,57.9792,C,Miss,2,0,1,0
331,Survived,3,female,18,23.25,Q,Miss,3,0,1,0
332,Did Not Survive,1,male,45,28.5,S,Mr,1,1,0,0
333,Did Not Survive,1,male,38,153.4625,S,Mr,2,0,1,0
334,Did Not Survive,3,male,16,18.0,S,Mr,3,0,1,0
335,Survived,1,female,40,133.65,S,Mrs,2,0,1,0
336,Did Not Survive,3,male,26,7.8958,S,Mr,1,1,0,0
337,Did Not Survive,1,male,29,66.6,S,Mr,2,0,1,0
338,Survived,1,female,41,134.5,C,Miss,1,1,0,0
339,Survived,3,male,45,8.05,S,Mr,1,1,0,0
340,Did Not Survive,1,male,45,35.5,S,Mr,1,1,0,0
341,Survived,2,male,2,26.0,S,Master,3,0,1,0
342,Survived,1,female,24,263.0,S,Miss,6,0,0,1
343,Did Not Survive,2,male,28,13.0,S,Mr,1,1,0,0
344,Did Not Survive,2,male,25,13.0,S,Mr,1,1,0,0
345,Did Not Survive,2,male,36,13.0,S,Mr,1,1,0,0
346,Survived,2,female,24,13.0,S,Miss,1,1,0,0
347,Survived,2,female,40,13.0,S,Miss,1,1,0,0
348,Survived,3,female,31,16.1,S,Mrs,2,0,1,0
349,Survived,3,male,3,15.9,S,Master,3,0,1,0
350,Did Not Survive,3,male,42,8.6625,S,Mr,1,1,0,0
351,Did Not Survive,3,male,23,9.225,S,Mr,1,1,0,0
352,Did Not Survive,1,male,40,35.0,S,Mr,1,1,0,0
353,Did Not Survive,3,male,15,7.2292,C,Mr,3,0,1,0
354,Did Not Survive,3,male,25,17.8,S,Mr,2,0,1,0
355,Did Not Survive,3,male,26,7.225,C,Mr,1,1,0,0
356,Did Not Survive,3,male,28,9.5,S,Mr,1,1,0,0
357,Survived,1,female,22,55.0,S,Miss,2,0,1,0
358,Did Not Survive,2,female,38,13.0,S,Miss,1,1,0,0
359,Survived,3,female,18,7.8792,Q,Miss,1,1,0,0
360,Survived,3,female,18,7.8792,Q,Miss,1,1,0,0
361,Did Not Survive,3,male,40,27.9,S,Mr,6,0,0,1
362,Did Not Survive,2,male,29,27.7208,C,Mr,2,0,1,0
363,Did Not Survive,3,female,45,14.4542,C,Mrs,2,0,1,0
364,Did Not Survive,3,male,35,7.05,S,Mr,1,1,0,0
365,Did Not Survive,3,male,26,15.5,Q,Mr,2,0,1,0
366,Did Not Survive,3,male,30,7.25,S,Mr,1,1,0,0
367,Survived,1,female,60,75.25,C,Mrs,2,0,1,0
368,Survived,3,female,31,7.2292,C,Mrs,1,1,0,0
369,Survived,3,female,18,7.75,Q,Miss,1,1,0,0
370,Survived,1,female,24,69.3,C,Mrs,1,1,0,0
371,Survived,1,male,25,55.4417,C,Mr,2,0,1,0
372,Did Not Survive,3,male,18,6.4958,S,Mr,2,0,1,0
373,Did Not Survive,3,male,19,8.05,S,Mr,1,1,0,0
374,Did Not Survive,1,male,22,135.6333,C,Mr,1,1,0,0
375,Did Not Survive,3,female,3,21.075,S,Miss,5,0,0,1
376,Survived,1,female,40,82.1708,C,Mrs,2,0,1,0
377,Survived,3,female,22,7.25,S,Miss,1,1,0,0
378,Did Not Survive,1,male,27,211.5,C,Mr,3,0,1,0
379,Did Not Survive,3,male,20,4.0125,C,Mr,1,1,0,0
380,Did Not Survive,3,male,19,7.775,S,Mr,1,1,0,0
381,Survived,1,female,42,227.525,C,Miss,1,1,0,0
382,Survived,3,female,1,15.7417,C,Miss,3,0,1,0
383,Did Not Survive,3,male,32,7.925,S,Mr,1,1,0,0
384,Survived,1,female,35,52.0,S,Mrs,2,0,1,0
385,Did Not Survive,3,male,26,7.8958,S,Mr,1,1,0,0
386,Did Not Survive,2,male,18,73.5,S,Mr,1,1,0,0
387,Did Not Survive,3,male,1,46.9,S,Master,8,0,0,1
388,Survived,2,female,36,13.0,S,Miss,1,1,0,0
389,Did Not Survive,3,male,26,7.7292,Q,Mr,1,1,0,0
390,Survived,2,female,17,12.0,C,Miss,1,1,0,0
391,Survived,1,male,36,120.0,S,Mr,4,0,1,0
392,Survived,3,male,21,7.7958,S,Mr,1,1,0,0
393,Did Not Survive,3,male,28,7.925,S,Mr,3,0,1,0
394,Survived,1,female,23,113.275,C,Miss,2,0,1,0
395,Survived,3,female,24,16.7,S,Mrs,3,0,1,0
396,Did Not Survive,3,male,22,7.7958,S,Mr,1,1,0,0
397,Did Not Survive,3,female,31,7.8542,S,Miss,1,1,0,0
398,Did Not Survive,2,male,46,26.0,S,Mr,1,1,0,0
399,Did Not Survive,2,male,23,10.5,S,Officer,1,1,0,0
400,Survived,2,female,28,12.65,S,Mrs,1,1,0,0
401,Survived,3,male,39,7.925,S,Mr,1,1,0,0
402,Did Not Survive,3,male,26,8.05,S,Mr,1,1,0,0
403,Did Not Survive,3,female,21,9.825,S,Miss,2,0,1,0
404,Did Not Survive,3,male,28,15.85,S,Mr,2,0,1,0
405,Did Not Survive,3,female,20,8.6625,S,Miss,1,1,0,0
406,Did Not Survive,2,male,34,21.0,S,Mr,2,0,1,0
407,Did Not Survive,3,male,51,7.75,S,Mr,1,1,0,0
408,Survived,2,male,3,18.75,S,Master,3,0,1,0
409,Did Not Survive,3,male,21,7.775,S,Mr,1,1,0,0
410,Did Not Survive,3,female,18,25.4667,S,Miss,5,0,0,1
411,Did Not Survive,3,male,26,7.8958,S,Mr,1,1,0,0
412,Did Not Survive,3,male,26,6.8583,Q,Mr,1,1,0,0
413,Survived,1,female,33,90.0,Q,Miss,2,0,1,0
414,Did Not Survive,2,male,31,0.0,S,Mr,1,1,0,0
415,Survived,3,male,44,7.925,S,Mr,1,1,0,0
416,Did Not Survive,3,female,31,8.05,S,Mrs,1,1,0,0
417,Survived,2,female,34,32.5,S,Mrs,3,0,1,0
418,Survived,2,female,18,13.0,S,Miss,3,0,1,0
419,Did Not Survive,2,male,30,13.0,S,Mr,1,1,0,0
420,Did Not Survive,3,female,10,24.15,S,Miss,3,0,1,0
421,Did Not Survive,3,male,26,7.8958,C,Mr,1,1,0,0
